"c.4.65170640979814e.08..2.18633047220355e.08..3.23497599559635e.08.."
4.65170640979814e-08
2.18633047220355e-08
3.23497599559635e-08
2.00680663985397e-08
4.6043105365464e-08
4.57764429987214e-08
3.11068034343024e-08
3.73664249177372e-08
4.02932633644551e-08
3.32568319477131e-08
2.08867008878064e-08
3.27407314787373e-08
6.10777507985626e-08
3.73750524926565e-08
1.22634345058064e-08
3.14385294657317e-08
3.69673713375487e-08
1.16185811011317e-08
6.0386435017412e-09
2.26794308300504e-08
1.8736800680209e-08
3.19341608573518e-08
4.03101882201894e-08
1.34215383012398e-08
4.60535033210366e-08
3.5759360128186e-08
5.57990219156374e-08
2.67637537954535e-08
2.43809452866067e-08
4.58756302232982e-08
4.31281391754501e-08
1.18387261454558e-08
4.94869812357182e-08
7.64115833511038e-09
2.04362391186496e-08
2.19645182889704e-08
6.42773042233261e-08
3.05976361456216e-08
4.55303677875645e-08
1.6499497320297e-08
3.90391227985758e-08
3.97187049204457e-08
4.73214468041938e-08
3.66795648266902e-08
3.98790136220994e-08
4.33182300548574e-08
2.98339758408956e-08
1.35324512182417e-08
2.02877485244543e-08
7.44837209547666e-08
5.62078345044562e-08
3.85879117479736e-08
4.60014151145422e-08
4.04681243496047e-08
1.39533865083331e-08
3.7092831013777e-08
4.43369840333946e-08
4.15237202348056e-08
2.95108041426987e-08
5.67209417203812e-08
2.56592393037129e-08
4.70870162336806e-08
3.72764810057759e-08
3.20676727044723e-08
1.71704174191814e-08
2.88517592820132e-08
3.44277706284581e-08
5.51929437762596e-08
2.90588696170656e-08
3.50984568370937e-08
2.37637549773215e-08
3.43255326157178e-08
1.34470790405303e-08
3.43293676956225e-08
1.69024857497758e-08
3.676908228911e-08
3.1872963680751e-08
2.58598210599085e-08
3.58338162684536e-08
4.16279240828558e-08
4.23918414509046e-08
2.15299614836002e-08
3.48447424612861e-08
2.88337343642987e-08
1.89105285261255e-08
3.49995074198006e-08
3.45316154119899e-08
4.97648667963733e-08
3.86306107074547e-08
3.4853782453099e-08
2.84595086940245e-08
4.00301710357784e-08
1.69348582879987e-08
3.53969286331889e-08
3.97443925881366e-08
1.37628617472354e-08
1.37506138265363e-08
5.50922230220074e-08
1.6566191478843e-08
4.22189860753468e-08
